title,table_number,domain,endpoint_short,category,subgroup_values,interaction_p
Table 301.3.2001.218.2: Summary and Results of TEAEs by Subgroups - Anemia (AESI),2001,Safety,TEAE – Anemia (AESI),Region,"Asia, Non-Asia",0.789
Table 301.3.2001.218.2: Summary and Results of TEAEs by Subgroups - Anemia (AESI),2001,Safety,TEAE – Anemia (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.2031
Table 301.3.2001.219.2: Summary and Results of TEAEs by Subgroups - Hypersensitivity Reactions (AESI),2001,Safety,TEAE – Hypersens. (AESI),Age Group 1,"<=65 years, >65 years",0.8015
Table 301.3.2001.219.2: Summary and Results of TEAEs by Subgroups - Hypersensitivity Reactions (AESI),2001,Safety,TEAE – Hypersens. (AESI),Sex,"Male, Female",0.1109
Table 301.3.2001.219.2: Summary and Results of TEAEs by Subgroups - Hypersensitivity Reactions (AESI),2001,Safety,TEAE – Hypersens. (AESI),Region,"Asia, Non-Asia",0.9107
Table 301.3.2001.219.2: Summary and Results of TEAEs by Subgroups - Hypersensitivity Reactions (AESI),2001,Safety,TEAE – Hypersens. (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.1093
Table 301.3.2001.220.2: Summary and Results of TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,TEAE – IRR (AESI),Age Group 1,"<=65 years, >65 years",0.0187
Table 301.3.2001.220.2: Summary and Results of TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,TEAE – IRR (AESI),Sex,"Male, Female",0.7202
Table 301.3.2001.220.2: Summary and Results of TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,TEAE – IRR (AESI),Region,"Asia, Non-Asia",0.0147
Table 301.3.2001.220.2: Summary and Results of TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,TEAE – IRR (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.0851
Table 301.3.2001.221.2: Summary and Results of TEAEs by Subgroups - Nausea (AESI),2001,Safety,TEAE – Nausea (AESI),Age Group 1,"<=65 years, >65 years",0.0868
Table 301.3.2001.221.2: Summary and Results of TEAEs by Subgroups - Nausea (AESI),2001,Safety,TEAE – Nausea (AESI),Sex,"Male, Female",0.1032
Table 301.3.2001.221.2: Summary and Results of TEAEs by Subgroups - Nausea (AESI),2001,Safety,TEAE – Nausea (AESI),Region,"Asia, Non-Asia",0.5163
Table 301.3.2001.221.2: Summary and Results of TEAEs by Subgroups - Nausea (AESI),2001,Safety,TEAE – Nausea (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.4459
Table 301.3.2001.222.2: Summary and Results of TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,TEAE – Neutropenia (AESI),Age Group 1,"<=65 years, >65 years",0.8145
Table 301.3.2001.222.2: Summary and Results of TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,TEAE – Neutropenia (AESI),Sex,"Male, Female",0.6703
Table 301.3.2001.222.2: Summary and Results of TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,TEAE – Neutropenia (AESI),Region,"Asia, Non-Asia",0.4951
Table 301.3.2001.222.2: Summary and Results of TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,TEAE – Neutropenia (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.025
Table 301.3.2001.223.2: Summary and Results of TEAEs by Subgroups - Vomiting (AESI),2001,Safety,TEAE – Vomiting (AESI),Age Group 1,"<=65 years, >65 years",0.4726
Table 301.3.2001.223.2: Summary and Results of TEAEs by Subgroups - Vomiting (AESI),2001,Safety,TEAE – Vomiting (AESI),Sex,"Male, Female",0.7776
Table 301.3.2001.223.2: Summary and Results of TEAEs by Subgroups - Vomiting (AESI),2001,Safety,TEAE – Vomiting (AESI),Region,"Asia, Non-Asia",0.7541
Table 301.3.2001.223.2: Summary and Results of TEAEs by Subgroups - Vomiting (AESI),2001,Safety,TEAE – Vomiting (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.3146
Table 301.3.2001.224.2: Summary and Results of Non-Severe TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,Severe – Abd. Pain (AESI),Age Group 1,"<=65 years, >65 years",0.3368
Table 301.3.2001.224.2: Summary and Results of Non-Severe TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,Severe – Abd. Pain (AESI),Sex,"Male, Female",0.2861
Table 301.3.2001.224.2: Summary and Results of Non-Severe TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,Severe – Abd. Pain (AESI),Region,"Asia, Non-Asia",0.8506
Table 301.3.2001.224.2: Summary and Results of Non-Severe TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,Severe – Abd. Pain (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.5509
Table 301.3.2001.225.2: Summary and Results of Non-Severe TEAEs by Subgroups - Anemia (AESI),2001,Safety,Severe – Anemia (AESI),Age Group 1,"<=65 years, >65 years",0.2229
Table 301.3.2001.225.2: Summary and Results of Non-Severe TEAEs by Subgroups - Anemia (AESI),2001,Safety,Severe – Anemia (AESI),Sex,"Male, Female",0.5768
Table 301.3.2001.225.2: Summary and Results of Non-Severe TEAEs by Subgroups - Anemia (AESI),2001,Safety,Severe – Anemia (AESI),Region,"Asia, Non-Asia",0.7921
Table 301.3.2001.225.2: Summary and Results of Non-Severe TEAEs by Subgroups - Anemia (AESI),2001,Safety,Severe – Anemia (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.1674
Table 301.3.2001.226.2: Summary and Results of Non-Severe TEAEs by Subgroups - Hypersensitivity Reactions (AESI),2001,Safety,Severe – Hypersens. (AESI),Age Group 1,"<=65 years, >65 years",0.7806
Table 301.3.2001.226.2: Summary and Results of Non-Severe TEAEs by Subgroups - Hypersensitivity Reactions (AESI),2001,Safety,Severe – Hypersens. (AESI),Sex,"Male, Female",0.1049
Table 301.3.2001.226.2: Summary and Results of Non-Severe TEAEs by Subgroups - Hypersensitivity Reactions (AESI),2001,Safety,Severe – Hypersens. (AESI),Region,"Asia, Non-Asia",0.8554
Table 301.3.2001.226.2: Summary and Results of Non-Severe TEAEs by Subgroups - Hypersensitivity Reactions (AESI),2001,Safety,Severe – Hypersens. (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.0703
Table 301.3.2001.227.2: Summary and Results of Non-Severe TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,Severe – IRR (AESI),Age Group 1,"<=65 years, >65 years",0.0069
Table 301.3.2001.227.2: Summary and Results of Non-Severe TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,Severe – IRR (AESI),Sex,"Male, Female",0.7588
Table 301.3.2001.227.2: Summary and Results of Non-Severe TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,Severe – IRR (AESI),Region,"Asia, Non-Asia",0.0549
Table 301.3.2001.227.2: Summary and Results of Non-Severe TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,Severe – IRR (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.0937
Table 301.3.2001.228.2: Summary and Results of Non-Severe TEAEs by Subgroups - Nausea (AESI),2001,Safety,Severe – Nausea (AESI),Age Group 1,"<=65 years, >65 years",0.0369
Table 301.3.2001.228.2: Summary and Results of Non-Severe TEAEs by Subgroups - Nausea (AESI),2001,Safety,Severe – Nausea (AESI),Sex,"Male, Female",0.306
Table 301.3.2001.228.2: Summary and Results of Non-Severe TEAEs by Subgroups - Nausea (AESI),2001,Safety,Severe – Nausea (AESI),Region,"Asia, Non-Asia",0.9819
Table 301.3.2001.228.2: Summary and Results of Non-Severe TEAEs by Subgroups - Nausea (AESI),2001,Safety,Severe – Nausea (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.3866
Table 301.3.2001.229.2: Summary and Results of Non-Severe TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,Severe – Neutropenia (AESI),Age Group 1,"<=65 years, >65 years",0.8675
Table 301.3.2001.229.2: Summary and Results of Non-Severe TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,Severe – Neutropenia (AESI),Sex,"Male, Female",0.2396
Table 301.3.2001.229.2: Summary and Results of Non-Severe TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,Severe – Neutropenia (AESI),Region,"Asia, Non-Asia",0.7709
Table 301.3.2001.229.2: Summary and Results of Non-Severe TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,Severe – Neutropenia (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.0847
Table 301.3.2001.230.2: Summary and Results of Non-Severe TEAEs by Subgroups - Vomiting (AESI),2001,Safety,Severe – Vomiting (AESI),Age Group 1,"<=65 years, >65 years",0.3094
Table 301.3.2001.230.2: Summary and Results of Non-Severe TEAEs by Subgroups - Vomiting (AESI),2001,Safety,Severe – Vomiting (AESI),Sex,"Male, Female",0.735
Table 301.3.2001.230.2: Summary and Results of Non-Severe TEAEs by Subgroups - Vomiting (AESI),2001,Safety,Severe – Vomiting (AESI),Region,"Asia, Non-Asia",0.8486
Table 301.3.2001.230.2: Summary and Results of Non-Severe TEAEs by Subgroups - Vomiting (AESI),2001,Safety,Severe – Vomiting (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.5223
Table 301.3.2001.231.2: Summary and Results of Severe TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,Severe – Abd. Pain (AESI),Age Group 1,"<=65 years, >65 years",0.9885
Table 301.3.2001.231.2: Summary and Results of Severe TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,Severe – Abd. Pain (AESI),Sex,"Male, Female",0.4525
Table 301.3.2001.231.2: Summary and Results of Severe TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,Severe – Abd. Pain (AESI),Region,"Asia, Non-Asia",0.9886
Table 301.3.2001.231.2: Summary and Results of Severe TEAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,Severe – Abd. Pain (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.1844
Table 301.3.2001.232.2: Summary and Results of Severe TEAEs by Subgroups - Anemia (AESI),2001,Safety,Severe – Anemia (AESI),Age Group 1,"<=65 years, >65 years",0.7635
Table 301.3.2001.232.2: Summary and Results of Severe TEAEs by Subgroups - Anemia (AESI),2001,Safety,Severe – Anemia (AESI),Sex,"Male, Female",0.2073
Table 301.3.2001.232.2: Summary and Results of Severe TEAEs by Subgroups - Anemia (AESI),2001,Safety,Severe – Anemia (AESI),Region,"Asia, Non-Asia",0.4306
Table 301.3.2001.232.2: Summary and Results of Severe TEAEs by Subgroups - Anemia (AESI),2001,Safety,Severe – Anemia (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.1681
Table 301.3.2001.234.2: Summary and Results of Severe TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,Severe – IRR (AESI),Age Group 1,"<=65 years, >65 years",0.9907
Table 301.3.2001.234.2: Summary and Results of Severe TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,Severe – IRR (AESI),Sex,"Male, Female",0.9893
Table 301.3.2001.234.2: Summary and Results of Severe TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,Severe – IRR (AESI),Region,"Asia, Non-Asia",0.1598
Table 301.3.2001.234.2: Summary and Results of Severe TEAEs by Subgroups - Infusion Related Reaction (AESI),2001,Safety,Severe – IRR (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.3485
Table 301.3.2001.235.2: Summary and Results of Severe TEAEs by Subgroups - Nausea (AESI),2001,Safety,Severe – Nausea (AESI),Age Group 1,"<=65 years, >65 years",0.2807
Table 301.3.2001.235.2: Summary and Results of Severe TEAEs by Subgroups - Nausea (AESI),2001,Safety,Severe – Nausea (AESI),Sex,"Male, Female",0.8748
Table 301.3.2001.235.2: Summary and Results of Severe TEAEs by Subgroups - Nausea (AESI),2001,Safety,Severe – Nausea (AESI),Region,"Asia, Non-Asia",0.2576
Table 301.3.2001.235.2: Summary and Results of Severe TEAEs by Subgroups - Nausea (AESI),2001,Safety,Severe – Nausea (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.2934
Table 301.3.2001.236.2: Summary and Results of Severe TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,Severe – Neutropenia (AESI),Age Group 1,"<=65 years, >65 years",0.7582
Table 301.3.2001.236.2: Summary and Results of Severe TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,Severe – Neutropenia (AESI),Sex,"Male, Female",0.9096
Table 301.3.2001.236.2: Summary and Results of Severe TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,Severe – Neutropenia (AESI),Region,"Asia, Non-Asia",0.6953
Table 301.3.2001.236.2: Summary and Results of Severe TEAEs by Subgroups - Neutropenia (AESI),2001,Safety,Severe – Neutropenia (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.0464
Table 301.3.2001.237.2: Summary and Results of Severe TEAEs by Subgroups - Vomiting (AESI),2001,Safety,Severe – Vomiting (AESI),Age Group 1,"<=65 years, >65 years",0.2434
Table 301.3.2001.237.2: Summary and Results of Severe TEAEs by Subgroups - Vomiting (AESI),2001,Safety,Severe – Vomiting (AESI),Sex,"Male, Female",0.6073
Table 301.3.2001.237.2: Summary and Results of Severe TEAEs by Subgroups - Vomiting (AESI),2001,Safety,Severe – Vomiting (AESI),Region,"Asia, Non-Asia",0.6729
Table 301.3.2001.237.2: Summary and Results of Severe TEAEs by Subgroups - Vomiting (AESI),2001,Safety,Severe – Vomiting (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.2736
Table 301.3.2001.238.2: Summary and Results of TESAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,TESAE – Abd. Pain (AESI),Age Group 1,"<=65 years, >65 years",0.4368
Table 301.3.2001.238.2: Summary and Results of TESAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,TESAE – Abd. Pain (AESI),Region,"Asia, Non-Asia",0.9905
Table 301.3.2001.238.2: Summary and Results of TESAEs by Subgroups - Abdominal Pain (AESI),2001,Safety,TESAE – Abd. Pain (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.696
Table 301.3.2001.242.2: Summary and Results of TESAEs by Subgroups - Nausea (AESI),2001,Safety,TESAE – Nausea (AESI),Age Group 1,"<=65 years, >65 years",0.8888
Table 301.3.2001.242.2: Summary and Results of TESAEs by Subgroups - Nausea (AESI),2001,Safety,TESAE – Nausea (AESI),Sex,"Male, Female",0.7566
Table 301.3.2001.242.2: Summary and Results of TESAEs by Subgroups - Nausea (AESI),2001,Safety,TESAE – Nausea (AESI),Region,"Asia, Non-Asia",0.7229
Table 301.3.2001.242.2: Summary and Results of TESAEs by Subgroups - Nausea (AESI),2001,Safety,TESAE – Nausea (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.7778
Table 301.3.2001.243.2: Summary and Results of TESAEs by Subgroups - Neutropenia (AESI),2001,Safety,TESAE – Neutropenia (AESI),Age Group 1,"<=65 years, >65 years",0.7735
Table 301.3.2001.243.2: Summary and Results of TESAEs by Subgroups - Neutropenia (AESI),2001,Safety,TESAE – Neutropenia (AESI),Sex,"Male, Female",0.5639
Table 301.3.2001.243.2: Summary and Results of TESAEs by Subgroups - Neutropenia (AESI),2001,Safety,TESAE – Neutropenia (AESI),Region,"Asia, Non-Asia",0.6823
Table 301.3.2001.243.2: Summary and Results of TESAEs by Subgroups - Neutropenia (AESI),2001,Safety,TESAE – Neutropenia (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.9903
Table 301.3.2001.244.2: Summary and Results of TESAEs by Subgroups - Vomiting (AESI),2001,Safety,TESAE – Vomiting (AESI),Age Group 1,"<=65 years, >65 years",0.5359
Table 301.3.2001.244.2: Summary and Results of TESAEs by Subgroups - Vomiting (AESI),2001,Safety,TESAE – Vomiting (AESI),Sex,"Male, Female",0.7159
Table 301.3.2001.244.2: Summary and Results of TESAEs by Subgroups - Vomiting (AESI),2001,Safety,TESAE – Vomiting (AESI),Region,"Asia, Non-Asia",0.1262
Table 301.3.2001.244.2: Summary and Results of TESAEs by Subgroups - Vomiting (AESI),2001,Safety,TESAE – Vomiting (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.9882
Table 301.3.2001.247.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Hypersensitivity Reactions (AESI),2001,Safety,DC – Hypersens. (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.8629
Table 301.3.2001.248.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Infusion Related Reaction (AESI),2001,Safety,DC – IRR (AESI),Age Group 1,"<=65 years, >65 years",0.8074
Table 301.3.2001.248.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Infusion Related Reaction (AESI),2001,Safety,DC – IRR (AESI),Sex,"Male, Female",0.1784
Table 301.3.2001.248.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Infusion Related Reaction (AESI),2001,Safety,DC – IRR (AESI),Region,"Asia, Non-Asia",0.0455
Table 301.3.2001.248.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Infusion Related Reaction (AESI),2001,Safety,DC – IRR (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.1337
Table 301.3.2001.249.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Nausea (AESI),2001,Safety,DC – Nausea (AESI),Age Group 1,"<=65 years, >65 years",0.8755
Table 301.3.2001.249.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Nausea (AESI),2001,Safety,DC – Nausea (AESI),Sex,"Male, Female",0.7188
Table 301.3.2001.249.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Nausea (AESI),2001,Safety,DC – Nausea (AESI),Region,"Asia, Non-Asia",0.0751
Table 301.3.2001.249.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Nausea (AESI),2001,Safety,DC – Nausea (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.9916
Table 301.3.2001.250.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Neutropenia (AESI),2001,Safety,DC – Neutropenia (AESI),Age Group 1,"<=65 years, >65 years",0.7245
Table 301.3.2001.250.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Neutropenia (AESI),2001,Safety,DC – Neutropenia (AESI),Sex,"Male, Female",0.4722
Table 301.3.2001.250.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Neutropenia (AESI),2001,Safety,DC – Neutropenia (AESI),Region,"Asia, Non-Asia",0.9987
Table 301.3.2001.250.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Neutropenia (AESI),2001,Safety,DC – Neutropenia (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.0553
Table 301.3.2001.251.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Vomiting (AESI),2001,Safety,DC – Vomiting (AESI),Age Group 1,"<=65 years, >65 years",0.9905
Table 301.3.2001.251.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Vomiting (AESI),2001,Safety,DC – Vomiting (AESI),Sex,"Male, Female",0.9911
Table 301.3.2001.251.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Vomiting (AESI),2001,Safety,DC – Vomiting (AESI),Region,"Asia, Non-Asia",0.9931
Table 301.3.2001.251.2: Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Vomiting (AESI),2001,Safety,DC – Vomiting (AESI),Number of Organs with Metastatic Sites,"0-2, >=3",0.9889
