nr,page_start,page_end,filename
201,616,616,0201_Table 301.1.2001.37.1_ Summary and Results of TEAEs - Vomiting (PT).xlsx
202,617,617,0202_Table 301.1.2001.37.2_ Summary and Results of TEAEs by Subgroups - Vomiting (PT).xlsx
203,618,618,0203_Table 301.1.2001.38.1_ Summary and Results of TEAEs - General Disorders And Administration Site Conditions (SOC).xlsx
204,619,619,0204_Table 301.1.2001.39.1_ Summary and Results of TEAEs - Asthenia (PT).xlsx
205,620,620,0205_Table 301.1.2001.40.1_ Summary and Results of TEAEs - Chest Discomfort (PT).xlsx
206,621,621,0206_Table 301.1.2001.41.1_ Summary and Results of TEAEs - Chest Pain (PT).xlsx
207,622,622,0207_Table 301.1.2001.42.1_ Summary and Results of TEAEs - Chills (PT).xlsx
208,623,623,0208_Table 301.1.2001.43.1_ Summary and Results of TEAEs - Fatigue (PT).xlsx
209,624,624,0209_Table 301.1.2001.44.1_ Summary and Results of TEAEs - General Physical Health Deterioration (PT).xlsx
210,625,625,0210_Table 301.1.2001.45.1_ Summary and Results of TEAEs - Malaise (PT).xlsx
211,626,626,0211_Table 301.1.2001.45.2_ Summary and Results of TEAEs by Subgroups - Malaise (PT).xlsx
212,627,627,0212_Table 301.1.2001.46.1_ Summary and Results of TEAEs - Mucosal Inflammation (PT).xlsx
213,628,628,0213_Table 301.1.2001.47.1_ Summary and Results of TEAEs - Non-Cardiac Chest Pain (PT).xlsx
214,629,629,0214_Table 301.1.2001.48.1_ Summary and Results of TEAEs - Oedema Peripheral (PT).xlsx
215,630,630,0215_Table 301.1.2001.48.2_ Summary and Results of TEAEs by Subgroups - Oedema Peripheral (PT).xlsx
216,631,631,0216_Table 301.1.2001.49.1_ Summary and Results of TEAEs - Pyrexia (PT).xlsx
217,632,632,0217_Table 301.1.2001.50.1_ Summary and Results of TEAEs - Temperature Intolerance (PT).xlsx
218,633,633,0218_Table 301.1.2001.51.1_ Summary and Results of TEAEs - Hepatobiliary Disorders (SOC).xlsx
219,634,634,0219_Table 301.1.2001.52.1_ Summary and Results of TEAEs - Immune System Disorders (SOC).xlsx
220,635,635,0220_Table 301.1.2001.53.1_ Summary and Results of TEAEs - Drug Hypersensitivity (PT).xlsx
221,636,636,0221_Table 301.1.2001.54.1_ Summary and Results of TEAEs - Infections And Infestations (SOC).xlsx
222,637,637,0222_Table 301.1.2001.55.1_ Summary and Results of TEAEs - Conjunctivitis (PT).xlsx
223,638,638,0223_Table 301.1.2001.56.1_ Summary and Results of TEAEs - Covid-19 (PT).xlsx
224,639,639,0224_Table 301.1.2001.57.1_ Summary and Results of TEAEs - Nasopharyngitis (PT).xlsx
225,640,640,0225_Table 301.1.2001.58.1_ Summary and Results of TEAEs - Oral Candidiasis (PT).xlsx
226,641,641,0226_Table 301.1.2001.58.2_ Summary and Results of TEAEs by Subgroups - Oral Candidiasis (PT).xlsx
227,642,642,0227_Table 301.1.2001.59.1_ Summary and Results of TEAEs - Pneumonia (PT).xlsx
228,643,643,0228_Table 301.1.2001.60.1_ Summary and Results of TEAEs - Urinary Tract Infection (PT).xlsx
229,644,644,"0229_Table 301.1.2001.61.1_ Summary and Results of TEAEs - Injury, Poisoning And Procedural Complications (SOC).xlsx"
230,645,645,0230_Table 301.1.2001.62.1_ Summary and Results of TEAEs - Fall (PT).xlsx
231,646,646,0231_Table 301.1.2001.63.1_ Summary and Results of TEAEs - Infusion Related Reaction (PT).xlsx
232,647,647,0232_Table 301.1.2001.64.1_ Summary and Results of TEAEs - Investigations (SOC).xlsx
233,648,648,0233_Table 301.1.2001.65.1_ Summary and Results of TEAEs - Alanine Aminotransferase Increased (PT).xlsx
234,649,649,0234_Table 301.1.2001.66.1_ Summary and Results of TEAEs - Aspartate Aminotransferase Increased (PT).xlsx
235,650,650,0235_Table 301.1.2001.67.1_ Summary and Results of TEAEs - Blood Alkaline Phosphatase Increased (PT).xlsx
236,651,651,0236_Table 301.1.2001.68.1_ Summary and Results of TEAEs - Blood Bilirubin Increased (PT).xlsx
237,652,652,0237_Table 301.1.2001.69.1_ Summary and Results of TEAEs - Blood Creatinine Increased (PT).xlsx
238,653,653,0238_Table 301.1.2001.70.1_ Summary and Results of TEAEs - Electrocardiogram Qt Prolonged (PT).xlsx
239,654,654,0239_Table 301.1.2001.71.1_ Summary and Results of TEAEs - Gamma-Glutamyltransferase Increased (PT).xlsx
240,655,655,0240_Table 301.1.2001.72.1_ Summary and Results of TEAEs - Neutrophil Count Decreased (PT).xlsx
241,656,656,0241_Table 301.1.2001.73.1_ Summary and Results of TEAEs - Platelet Count Decreased (PT).xlsx
242,657,657,0242_Table 301.1.2001.74.1_ Summary and Results of TEAEs - Weight Decreased (PT).xlsx
243,658,658,0243_Table 301.1.2001.75.1_ Summary and Results of TEAEs - Weight Increased (PT).xlsx
244,659,659,0244_Table 301.1.2001.76.1_ Summary and Results of TEAEs - White Blood Cell Count Decreased (PT).xlsx
245,660,660,0245_Table 301.1.2001.77.1_ Summary and Results of TEAEs - Metabolism And Nutrition Disorders (SOC).xlsx
246,661,661,0246_Table 301.1.2001.77.2_ Summary and Results of TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC).xlsx
247,662,662,0247_Table 301.1.2001.78.1_ Summary and Results of TEAEs - Decreased Appetite (PT).xlsx
248,663,663,0248_Table 301.1.2001.78.2_ Summary and Results of TEAEs by Subgroups - Decreased Appetite (PT).xlsx
249,664,664,0249_Table 301.1.2001.79.1_ Summary and Results of TEAEs - Dehydration (PT).xlsx
250,665,665,0250_Table 301.1.2001.80.1_ Summary and Results of TEAEs - Hyperglycaemia (PT).xlsx
251,666,666,0251_Table 301.1.2001.81.1_ Summary and Results of TEAEs - Hypoalbuminaemia (PT).xlsx
252,667,667,0252_Table 301.1.2001.81.2_ Summary and Results of TEAEs by Subgroups - Hypoalbuminaemia (PT).xlsx
253,668,668,0253_Table 301.1.2001.82.1_ Summary and Results of TEAEs - Hypocalcaemia (PT).xlsx
254,669,669,0254_Table 301.1.2001.82.2_ Summary and Results of TEAEs by Subgroups - Hypocalcaemia (PT).xlsx
255,670,670,0255_Table 301.1.2001.83.1_ Summary and Results of TEAEs - Hypokalaemia (PT).xlsx
256,671,671,0256_Table 301.1.2001.84.1_ Summary and Results of TEAEs - Hypomagnesaemia (PT).xlsx
257,672,672,0257_Table 301.1.2001.85.1_ Summary and Results of TEAEs - Hyponatraemia (PT).xlsx
258,673,673,0258_Table 301.1.2001.86.1_ Summary and Results of TEAEs - Hypophosphataemia (PT).xlsx
259,674,674,0259_Table 301.1.2001.87.1_ Summary and Results of TEAEs - Musculoskeletal And Connective Tissue Disorders (SOC).xlsx
260,675,675,0260_Table 301.1.2001.88.1_ Summary and Results of TEAEs - Arthralgia (PT).xlsx
261,676,676,0261_Table 301.1.2001.89.1_ Summary and Results of TEAEs - Back Pain (PT).xlsx
262,677,677,0262_Table 301.1.2001.90.1_ Summary and Results of TEAEs - Flank Pain (PT).xlsx
263,678,678,0263_Table 301.1.2001.90.2_ Summary and Results of TEAEs by Subgroups - Flank Pain (PT).xlsx
264,679,679,0264_Table 301.1.2001.91.1_ Summary and Results of TEAEs - Musculoskeletal Chest Pain (PT).xlsx
265,680,680,0265_Table 301.1.2001.92.1_ Summary and Results of TEAEs - Myalgia (PT).xlsx
266,681,681,0266_Table 301.1.2001.93.1_ Summary and Results of TEAEs - Pain In Extremity (PT).xlsx
267,682,682,"0267_Table 301.1.2001.94.1_ Summary and Results of TEAEs - Neoplasms Benign, Malignant And Unspecified (Incl Cysts And Polyps) (SOC).xlsx"
268,683,683,0268_Table 301.1.2001.95.1_ Summary and Results of TEAEs - Malignant Neoplasm Progression (PT).xlsx
269,684,684,0269_Table 301.1.2001.96.1_ Summary and Results of TEAEs - Nervous System Disorders (SOC).xlsx
270,685,685,0270_Table 301.1.2001.97.1_ Summary and Results of TEAEs - Dizziness (PT).xlsx
271,686,686,0271_Table 301.1.2001.98.1_ Summary and Results of TEAEs - Dysaesthesia (PT).xlsx
272,687,687,0272_Table 301.1.2001.99.1_ Summary and Results of TEAEs - Dysgeusia (PT).xlsx
273,688,688,0273_Table 301.1.2001.100.1_ Summary and Results of TEAEs - Headache (PT).xlsx
274,689,689,0274_Table 301.1.2001.101.1_ Summary and Results of TEAEs - Hypoaesthesia (PT).xlsx
275,690,690,0275_Table 301.1.2001.102.1_ Summary and Results of TEAEs - Neuropathy Peripheral (PT).xlsx
276,691,691,0276_Table 301.1.2001.103.1_ Summary and Results of TEAEs - Neurotoxicity (PT).xlsx
277,692,692,0277_Table 301.1.2001.104.1_ Summary and Results of TEAEs - Paraesthesia (PT).xlsx
278,693,693,0278_Table 301.1.2001.105.1_ Summary and Results of TEAEs - Peripheral Motor Neuropathy (PT).xlsx
279,694,694,0279_Table 301.1.2001.106.1_ Summary and Results of TEAEs - Peripheral Sensory Neuropathy (PT).xlsx
280,695,695,0280_Table 301.1.2001.107.1_ Summary and Results of TEAEs - Syncope (PT).xlsx
281,696,696,0281_Table 301.1.2001.108.1_ Summary and Results of TEAEs - Taste Disorder (PT).xlsx
282,697,697,0282_Table 301.1.2001.109.1_ Summary and Results of TEAEs - Psychiatric Disorders (SOC).xlsx
283,698,698,0283_Table 301.1.2001.110.1_ Summary and Results of TEAEs - Anxiety (PT).xlsx
284,699,699,0284_Table 301.1.2001.111.1_ Summary and Results of TEAEs - Depression (PT).xlsx
285,700,700,0285_Table 301.1.2001.112.1_ Summary and Results of TEAEs - Insomnia (PT).xlsx
286,701,701,0286_Table 301.1.2001.113.1_ Summary and Results of TEAEs - Renal And Urinary Disorders (SOC).xlsx
287,702,702,0287_Table 301.1.2001.114.1_ Summary and Results of TEAEs - Dysuria (PT).xlsx
288,703,703,0288_Table 301.1.2001.114.2_ Summary and Results of TEAEs by Subgroups - Dysuria (PT).xlsx
289,704,704,0289_Table 301.1.2001.115.1_ Summary and Results of TEAEs - Haematuria (PT).xlsx
290,705,705,0290_Table 301.1.2001.116.1_ Summary and Results of TEAEs - Proteinuria (PT).xlsx
291,706,706,0291_Table 301.1.2001.117.1_ Summary and Results of TEAEs - Reproductive System And Breast Disorders (SOC).xlsx
292,707,707,"0292_Table 301.1.2001.118.1_ Summary and Results of TEAEs - Respiratory, Thoracic And Mediastinal Disorderss (SOC).xlsx"
293,708,708,0293_Table 301.1.2001.119.1_ Summary and Results of TEAEs - Cough (PT).xlsx
294,709,709,0294_Table 301.1.2001.120.1_ Summary and Results of TEAEs - Dyspnoea (PT).xlsx
295,710,710,0295_Table 301.1.2001.121.1_ Summary and Results of TEAEs - Epistaxis (PT).xlsx
296,711,711,0296_Table 301.1.2001.122.1_ Summary and Results of TEAEs - Hiccups (PT).xlsx
297,712,712,0297_Table 301.1.2001.123.1_ Summary and Results of TEAEs - Oropharyngeal Pain (PT).xlsx
298,713,713,0298_Table 301.1.2001.123.2_ Summary and Results of TEAEs by Subgroups - Oropharyngeal Pain (PT).xlsx
299,714,714,0299_Table 301.1.2001.124.1_ Summary and Results of TEAEs - Pleural Effusion (PT).xlsx
300,715,715,0300_Table 301.1.2001.125.1_ Summary and Results of TEAEs - Productive Cough (PT).xlsx
301,716,716,0301_Table 301.1.2001.126.1_ Summary and Results of TEAEs - Pulmonary Embolism (PT).xlsx
302,717,717,0302_Table 301.1.2001.127.1_ Summary and Results of TEAEs - Rhinorrhoea (PT).xlsx
303,718,718,0303_Table 301.1.2001.128.1_ Summary and Results of TEAEs - Skin And Subcutaneous Tissue Disorders (SOC).xlsx
304,719,719,0304_Table 301.1.2001.129.1_ Summary and Results of TEAEs - Alopecia (PT).xlsx
305,720,720,0305_Table 301.1.2001.130.1_ Summary and Results of TEAEs - Dry Skin (PT).xlsx
306,721,721,0306_Table 301.1.2001.131.1_ Summary and Results of TEAEs - Erythema (PT).xlsx
307,722,722,0307_Table 301.1.2001.132.1_ Summary and Results of TEAEs - Hyperhidrosis (PT).xlsx
308,723,723,0308_Table 301.1.2001.133.1_ Summary and Results of TEAEs - Palmar-Plantar Erythrodysaesthesia Syndrome (PT).xlsx
309,724,724,0309_Table 301.1.2001.134.1_ Summary and Results of TEAEs - Pruritus (PT).xlsx
310,725,725,0310_Table 301.1.2001.135.1_ Summary and Results of TEAEs - Rash (PT).xlsx
311,726,726,0311_Table 301.1.2001.136.1_ Summary and Results of TEAEs - Rash Maculo-Papular (PT).xlsx
312,727,727,0312_Table 301.1.2001.137.1_ Summary and Results of TEAEs - Urticaria (PT).xlsx
313,728,728,0313_Table 301.1.2001.138.1_ Summary and Results of TEAEs - Vascular Disorders (SOC).xlsx
314,729,729,0314_Table 301.1.2001.139.1_ Summary and Results of TEAEs - Deep Vein Thrombosis (PT).xlsx
315,730,730,0315_Table 301.1.2001.140.1_ Summary and Results of TEAEs - Flushing (PT).xlsx
316,731,731,0316_Table 301.1.2001.141.1_ Summary and Results of TEAEs - Hot Flush (PT).xlsx
317,732,732,0317_Table 301.1.2001.142.1_ Summary and Results of TEAEs - Hypertension (PT).xlsx
318,733,733,0318_Table 301.1.2001.143.1_ Summary and Results of TEAEs - Hypotension (PT).xlsx
319,878,878,0319_Table 301.1.2001.167.1_ Summary and Results of Severe TEAEs - Blood and Lymphatic System Disorders (SOC).xlsx
320,879,879,0320_Table 301.1.2001.168.1_ Summary and Results of Severe TEAEs - Anaemia (PT).xlsx
321,880,880,0321_Table 301.1.2001.169.1_ Summary and Results of Severe TEAEs - Leukopenia (PT).xlsx
322,881,881,0322_Table 301.1.2001.170.1_ Summary and Results of Severe TEAEs - Neutropenia (PT).xlsx
323,882,882,0323_Table 301.1.2001.171.1_ Summary and Results of Severe TEAEs - Gastrointestinal Disorders (SOC).xlsx
324,883,883,0324_Table 301.1.2001.171.2_ Summary and Results of Severe TEAEs by Subgroups - Gastrointestinal Disorders (SOC).xlsx
325,884,884,0325_Table 301.1.2001.172.1_ Summary and Results of Severe TEAEs - Abdominal Pain (PT).xlsx
326,885,885,0326_Table 301.1.2001.173.1_ Summary and Results of Severe TEAEs - Diarrhoea (PT).xlsx
327,886,886,0327_Table 301.1.2001.174.1_ Summary and Results of Severe TEAEs - Dysphagia (PT).xlsx
328,887,887,0328_Table 301.1.2001.175.1_ Summary and Results of Severe TEAEs - Intestinal Obstruction (PT).xlsx
329,888,888,0329_Table 301.1.2001.176.1_ Summary and Results of Severe TEAEs - Nausea (PT).xlsx
330,889,889,0330_Table 301.1.2001.176.2_ Summary and Results of Severe TEAEs by Subgroups - Nausea (PT).xlsx
331,890,890,0331_Table 301.1.2001.177.1_ Summary and Results of Severe TEAEs - Stomatitis (PT).xlsx
332,891,891,0332_Table 301.1.2001.178.1_ Summary and Results of Severe TEAEs - Vomiting (PT).xlsx
333,892,892,0333_Table 301.1.2001.178.2_ Summary and Results of Severe TEAEs by Subgroups - Vomiting (PT).xlsx
334,893,893,0334_Table 301.1.2001.179.1_ Summary and Results of Severe TEAEs - General Disorders And Administration Site Conditions (SOC).xlsx
335,894,894,0335_Table 301.1.2001.180.1_ Summary and Results of Severe TEAEs - Asthenia (PT).xlsx
336,895,895,0336_Table 301.1.2001.180.2_ Summary and Results of Severe TEAEs by Subgroups - Asthenia (PT).xlsx
337,896,896,0337_Table 301.1.2001.181.1_ Summary and Results of Severe TEAEs - Fatigue (PT).xlsx
338,897,897,0338_Table 301.1.2001.182.1_ Summary and Results of Severe TEAEs - Hepatobiliary Disorders (SOC).xlsx
339,898,898,0339_Table 301.1.2001.183.1_ Summary and Results of Severe TEAEs - Infections And Infestations (SOC).xlsx
340,899,899,0340_Table 301.1.2001.184.1_ Summary and Results of Severe TEAEs - Pneumonia (PT).xlsx
341,900,900,"0341_Table 301.1.2001.185.1_ Summary and Results of Severe TEAEs - Injury, Poisoning And Procedural Complications (SOC).xlsx"
342,901,901,0342_Table 301.1.2001.186.1_ Summary and Results of Severe TEAEs - Investigations (SOC).xlsx
343,902,902,0343_Table 301.1.2001.187.1_ Summary and Results of Severe TEAEs - Aspartate Aminotransferase Increased (PT).xlsx
344,903,903,0344_Table 301.1.2001.188.1_ Summary and Results of Severe TEAEs - Neutrophil Count Decreased (PT).xlsx
345,904,904,0345_Table 301.1.2001.189.1_ Summary and Results of Severe TEAEs - White Blood Cell Count Decreased (PT).xlsx
346,905,905,0346_Table 301.1.2001.190.1_ Summary and Results of Severe TEAEs - Metabolism And Nutrition Disorders (SOC).xlsx
347,906,906,0347_Table 301.1.2001.190.2_ Summary and Results of Severe TEAEs by Subgroups - Metabolism And Nutrition Disorders (SOC).xlsx
348,907,907,0348_Table 301.1.2001.191.1_ Summary and Results of Severe TEAEs - Decreased Appetite (PT).xlsx
349,908,908,0349_Table 301.1.2001.192.1_ Summary and Results of Severe TEAEs - Hypoalbuminaemia (PT).xlsx
350,909,909,0350_Table 301.1.2001.192.2_ Summary and Results of Severe TEAEs by Subgroups - Hypoalbuminaemia (PT).xlsx
351,910,910,0351_Table 301.1.2001.193.1_ Summary and Results of Severe TEAEs - Hypokalaemia (PT).xlsx
352,911,911,0352_Table 301.1.2001.194.1_ Summary and Results of Severe TEAEs - Hypophosphataemia (PT).xlsx
353,912,912,"0353_Table 301.1.2001.195.1_ Summary and Results of Severe TEAEs - Neoplasms Benign, Malignant And Unspecified (Incl Cysts And Polyps) (SOC).xlsx"
354,913,913,0354_Table 301.1.2001.196.1_ Summary and Results of Severe TEAEs - Malignant Neoplasm Progression (PT).xlsx
355,914,914,0355_Table 301.1.2001.197.1_ Summary and Results of Severe TEAEs - Nervous System Disorders (SOC).xlsx
356,915,915,0356_Table 301.1.2001.198.1_ Summary and Results of Severe TEAEs - Paraesthesia (PT).xlsx
357,916,916,0357_Table 301.1.2001.199.1_ Summary and Results of Severe TEAEs - Peripheral Sensory Neuropathy (PT).xlsx
358,917,917,0358_Table 301.1.2001.200.1_ Summary and Results of Severe TEAEs - Syncope (PT).xlsx
359,918,918,"0359_Table 301.1.2001.201.1_ Summary and Results of Severe TEAEs - Respiratory, Thoracic And Mediastinal Disorderss (SOC).xlsx"
360,919,919,0360_Table 301.1.2001.202.1_ Summary and Results of Severe TEAEs - Pulmonary Embolism (PT).xlsx
361,920,920,0361_Table 301.1.2001.203.1_ Summary and Results of Severe TEAEs - Vascular Disorders (SOC).xlsx
362,921,921,0362_Table 301.1.2001.204.1_ Summary and Results of Severe TEAEs - Hypertension (PT).xlsx
363,964,964,0363_Table 301.1.2001.144.1_ Summary and Results of TESAEs - Blood and Lymphatic System Disorders (SOC).xlsx
364,965,965,0364_Table 301.1.2001.145.1_ Summary and Results of TESAEs - Cardiac Disorders (SOC).xlsx
365,966,966,0365_Table 301.1.2001.146.1_ Summary and Results of TESAEs - Gastrointestinal Disorders (SOC).xlsx
366,967,967,0366_Table 301.1.2001.147.1_ Summary and Results of TESAEs - Abdominal Pain (PT).xlsx
367,968,968,0367_Table 301.1.2001.148.1_ Summary and Results of TESAEs - Diarrhoea (PT).xlsx
368,969,969,0368_Table 301.1.2001.149.1_ Summary and Results of TESAEs - Intestinal Obstruction (PT).xlsx
369,970,970,0369_Table 301.1.2001.150.1_ Summary and Results of TESAEs - Nausea (PT).xlsx
370,971,971,0370_Table 301.1.2001.151.1_ Summary and Results of TESAEs - Vomiting (PT).xlsx
371,972,972,0371_Table 301.1.2001.152.1_ Summary and Results of TESAEs - General Disorders And Administration Site Conditions (SOC).xlsx
372,973,973,0372_Table 301.1.2001.153.1_ Summary and Results of TESAEs - Pyrexia (PT).xlsx
373,974,974,0373_Table 301.1.2001.154.1_ Summary and Results of TESAEs - Hepatobiliary Disorders (SOC).xlsx
374,975,975,0374_Table 301.1.2001.155.1_ Summary and Results of TESAEs - Infections And Infestations (SOC).xlsx
375,976,976,0375_Table 301.1.2001.156.1_ Summary and Results of TESAEs - Pneumonia (PT).xlsx
376,977,977,"0376_Table 301.1.2001.157.1_ Summary and Results of TESAEs - Injury, Poisoning And Procedural Complications (SOC).xlsx"
377,978,978,0377_Table 301.1.2001.158.1_ Summary and Results of TESAEs - Investigations (SOC).xlsx
378,979,979,0378_Table 301.1.2001.159.1_ Summary and Results of TESAEs - Metabolism And Nutrition Disorders (SOC).xlsx
379,980,980,"0379_Table 301.1.2001.160.1_ Summary and Results of TESAEs - Neoplasms Benign, Malignant And Unspecified (Incl Cysts And Polyps) (SOC).xlsx"
380,981,981,0380_Table 301.1.2001.161.1_ Summary and Results of TESAEs - Malignant Neoplasm Progression (PT).xlsx
381,982,982,0381_Table 301.1.2001.162.1_ Summary and Results of TESAEs - Nervous System Disorders (SOC).xlsx
382,983,983,0382_Table 301.1.2001.163.1_ Summary and Results of TESAEs - Renal And Urinary Disorders (SOC).xlsx
383,984,984,"0383_Table 301.1.2001.164.1_ Summary and Results of TESAEs - Respiratory, Thoracic And Mediastinal Disorders (SOC).xlsx"
384,985,985,0384_Table 301.1.2001.165.1_ Summary and Results of TESAEs - Pulmonary Embolism (PT).xlsx
385,986,986,0385_Table 301.1.2001.166.1_ Summary and Results of TESAEs - Vascular Disorders (SOC).xlsx
386,1012,1017,0386_Table 301.1.2000.5_ Frequency Summary of (Permanent) Treatment Discontinuation due to Treatment Emergent Adverse Event - Safety Analysis Set.xlsx
387,1019,1019,0387_Table 301.1.2001.205.1_ Summary and Results of TEAEs - Abdominal Pain (AESI).xlsx
388,1020,1020,0388_Table 301.1.2001.205.2_ Summary and Results of TEAEs by Subgroups - Abdominal Pain (AESI).xlsx
389,1021,1021,0389_Table 301.1.2001.206.1_ Summary and Results of TEAEs - Anemia (AESI).xlsx
390,1022,1022,0390_Table 301.1.2001.206.2_ Summary and Results of TEAEs by Subgroups - Anemia (AESI).xlsx
391,1023,1023,0391_Table 301.1.2001.207.1_ Summary and Results of TEAEs - Hypersensitivity Reactions (AESI).xlsx
392,1024,1024,0392_Table 301.1.2001.207.2_ Summary and Results of TEAEs by Subgroups - Hypersensitivity Reactions (AESI).xlsx
393,1025,1025,0393_Table 301.1.2001.208.1_ Summary and Results of TEAEs - Infusion Related Reaction (AESI).xlsx
394,1026,1026,0394_Table 301.1.2001.208.2_ Summary and Results of TEAEs by Subgroups - Infusion Related Reaction (AESI).xlsx
395,1027,1027,0395_Table 301.1.2001.209.1_ Summary and Results of TEAEs - Nausea (AESI).xlsx
396,1028,1028,0396_Table 301.1.2001.209.2_ Summary and Results of TEAEs by Subgroups - Nausea (AESI).xlsx
397,1029,1029,0397_Table 301.1.2001.210.1_ Summary and Results of TEAEs - Neutropenia (AESI).xlsx
398,1030,1030,0398_Table 301.1.2001.210.2_ Summary and Results of TEAEs by Subgroups - Neutropenia (AESI).xlsx
399,1031,1031,0399_Table 301.1.2001.211.1_ Summary and Results of TEAEs - Vomiting (AESI).xlsx
400,1032,1032,0400_Table 301.1.2001.211.2_ Summary and Results of TEAEs by Subgroups - Vomiting (AESI).xlsx
401,1033,1033,0401_Table 301.1.2001.212.1_ Summary and Results of Non-Severe TEAEs - Abdominal Pain (AESI).xlsx
402,1034,1034,0402_Table 301.1.2001.212.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Abdominal Pain (AESI).xlsx
403,1035,1035,0403_Table 301.1.2001.213.1_ Summary and Results of Non-Severe TEAEs - Anemia (AESI).xlsx
404,1036,1036,0404_Table 301.1.2001.213.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Anemia (AESI).xlsx
405,1037,1037,0405_Table 301.1.2001.214.1_ Summary and Results of Non-Severe TEAEs - Hypersensitivity Reactions (AESI).xlsx
406,1038,1038,0406_Table 301.1.2001.214.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Hypersensitivity Reactions (AESI).xlsx
407,1039,1039,0407_Table 301.1.2001.215.1_ Summary and Results of Non-Severe TEAEs - Infusion Related Reaction (AESI).xlsx
408,1040,1040,0408_Table 301.1.2001.215.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Infusion Related Reaction (AESI).xlsx
409,1041,1041,0409_Table 301.1.2001.216.1_ Summary and Results of Non-Severe TEAEs - Nausea (AESI).xlsx
410,1042,1042,0410_Table 301.1.2001.216.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Nausea (AESI).xlsx
411,1043,1043,0411_Table 301.1.2001.217.1_ Summary and Results of Non-Severe TEAEs - Neutropenia (AESI).xlsx
412,1044,1044,0412_Table 301.1.2001.217.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Neutropenia (AESI).xlsx
413,1045,1045,0413_Table 301.1.2001.218.1_ Summary and Results of Non-Severe TEAEs - Vomiting (AESI).xlsx
414,1046,1046,0414_Table 301.1.2001.218.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Vomiting (AESI).xlsx
415,1047,1047,0415_Table 301.1.2001.219.1_ Summary and Results of Severe TEAEs - Abdominal Pain (AESI).xlsx
416,1048,1048,0416_Table 301.1.2001.219.2_ Summary and Results of Severe TEAEs by Subgroups - Abdominal Pain (AESI).xlsx
417,1049,1049,0417_Table 301.1.2001.220.1_ Summary and Results of Severe TEAEs - Anemia (AESI).xlsx
418,1050,1050,0418_Table 301.1.2001.220.2_ Summary and Results of Severe TEAEs by Subgroups - Anemia (AESI).xlsx
419,1051,1051,0419_Table 301.1.2001.221.1_ Summary and Results of Severe TEAEs - Hypersensitivity Reactions (AESI).xlsx
420,1052,1052,0420_Table 301.1.2001.221.2_ Summary and Results of Severe TEAEs by Subgroups - Hypersensitivity Reactions (AESI).xlsx
421,1053,1053,0421_Table 301.1.2001.222.1_ Summary and Results of Severe TEAEs - Infusion Related Reaction (AESI).xlsx
422,1054,1054,0422_Table 301.1.2001.222.2_ Summary and Results of Severe TEAEs by Subgroups - Infusion Related Reaction (AESI).xlsx
423,1055,1055,0423_Table 301.1.2001.223.1_ Summary and Results of Severe TEAEs - Nausea (AESI).xlsx
424,1056,1056,0424_Table 301.1.2001.223.2_ Summary and Results of Severe TEAEs by Subgroups - Nausea (AESI).xlsx
425,1057,1057,0425_Table 301.1.2001.224.1_ Summary and Results of Severe TEAEs - Neutropenia (AESI).xlsx
426,1058,1058,0426_Table 301.1.2001.224.2_ Summary and Results of Severe TEAEs by Subgroups - Neutropenia (AESI).xlsx
427,1059,1059,0427_Table 301.1.2001.225.1_ Summary and Results of Severe TEAEs - Vomiting (AESI).xlsx
428,1060,1060,0428_Table 301.1.2001.225.2_ Summary and Results of Severe TEAEs by Subgroups - Vomiting (AESI).xlsx
429,1061,1061,0429_Table 301.1.2001.226.1_ Summary and Results of TESAEs - Abdominal Pain (AESI).xlsx
430,1062,1062,0430_Table 301.1.2001.226.2_ Summary and Results of TESAEs by Subgroups - Abdominal Pain (AESI).xlsx
431,1063,1063,0431_Table 301.1.2001.227.1_ Summary and Results of TESAEs - Anemia (AESI).xlsx
432,1064,1064,0432_Table 301.1.2001.227.2_ Summary and Results of TESAEs by Subgroups - Anemia (AESI).xlsx
433,1065,1065,0433_Table 301.1.2001.228.1_ Summary and Results of TESAEs - Hypersensitivity Reactions (AESI).xlsx
434,1066,1066,0434_Table 301.1.2001.228.2_ Summary and Results of TESAEs by Subgroups - Hypersensitivity Reactions (AESI).xlsx
435,1067,1067,0435_Table 301.1.2001.229.1_ Summary and Results of TESAEs - Infusion Related Reaction (AESI).xlsx
436,1068,1068,0436_Table 301.1.2001.229.2_ Summary and Results of TESAEs by Subgroups - Infusion Related Reaction (AESI).xlsx
437,1069,1069,0437_Table 301.1.2001.230.1_ Summary and Results of TESAEs - Nausea (AESI).xlsx
438,1070,1070,0438_Table 301.1.2001.230.2_ Summary and Results of TESAEs by Subgroups - Nausea (AESI).xlsx
439,1071,1071,0439_Table 301.1.2001.231.1_ Summary and Results of TESAEs - Neutropenia (AESI).xlsx
440,1072,1072,0440_Table 301.1.2001.231.2_ Summary and Results of TESAEs by Subgroups - Neutropenia (AESI).xlsx
