nr,page_start,page_end,filename
91,317,319,0091_Table 301.1.3001.33_ EORTC QLQ-OG25 - Completion Status of Trouble Talking - Full Analysis Set.xlsx
92,320,322,0092_Table 301.1.3001.34_ EORTC QLQ-OG25 - Completion Status of Weight Loss - Full Analysis Set.xlsx
93,323,325,0093_Table 301.1.3001.35_ EORTC QLQ-OG25 - Completion Status of Hair Loss - Full Analysis Set.xlsx
94,327,330,0094_Table 301.1.3002.20_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Dysphagia - Full Analysis Set.xlsx
95,331,336,0095_Table 301.1.3002.20.2_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Dysphagia by Sex - Full Analysis Set.xlsx
96,337,340,0096_Table 301.1.3002.21_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Eating Restrictions - Full Analysis Set.xlsx
97,341,344,0097_Table 301.1.3002.22_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Reflux - Full Analysis Set.xlsx
98,345,350,0098_Table 301.1.3002.22.2_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Reflux by Sex - Full Analysis Set.xlsx
99,351,354,0099_Table 301.1.3002.23_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Odynophagia - Full Analysis Set.xlsx
100,355,358,0100_Table 301.1.3002.24_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Pain and Discomfort - Full Analysis Set.xlsx
101,359,362,0101_Table 301.1.3002.25_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Anxiety - Full Analysis Set.xlsx
102,363,368,0102_Table 301.1.3002.25.2_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Anxiety by Sex - Full Analysis Set.xlsx
103,369,372,0103_Table 301.1.3002.26_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Eating in Front of Others - Full Analysis Set.xlsx
104,373,376,0104_Table 301.1.3002.27_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Dry Mouth - Full Analysis Set.xlsx
105,377,380,0105_Table 301.1.3002.28_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Trouble with Taste - Full Analysis Set.xlsx
106,381,384,0106_Table 301.1.3002.29_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Body Image - Full Analysis Set.xlsx
107,385,390,0107_Table 301.1.3002.29.1_ EORTC QLQ-OG25 - Observed Means and Change from Baseline of Body Image by Age Group 1 - Full Analysis Set.xlsx
